country_code,month,breakage_esperado
BR,2025-01,0.401
BR,2025-02,0.401
BR,2025-03,0.401
BR,2025-04,0.401
BR,2025-05,0.401
BR,2025-06,0.401
BR,2025-07,0.401
BR,2025-08,0.401
BR,2025-09,0.401
BR,2025-10,0.401
BR,2025-11,0.401
BR,2025-12,0.401
BR,2026-01,0.401
BR,2026-02,0.401
BR,2026-03,0.401
BR,2026-04,0.401
BR,2026-05,0.401
BR,2026-06,0.401
BR,2026-07,0.401
BR,2026-08,0.401
BR,2026-09,0.401
BR,2026-10,0.401
BR,2026-11,0.401
BR,2026-12,0.401
BR,2027-01,0.401
BR,2027-02,0.401
BR,2027-03,0.401
AR,2025-01,0.368
AR,2025-02,0.368
AR,2025-03,0.368
AR,2025-04,0.368
AR,2025-05,0.368
AR,2025-06,0.368
AR,2025-07,0.368
AR,2025-08,0.368
AR,2025-09,0.368
AR,2025-10,0.368
AR,2025-11,0.368
AR,2025-12,0.368
AR,2026-01,0.368
AR,2026-02,0.368
AR,2026-03,0.368
AR,2026-04,0.368
AR,2026-05,0.368
AR,2026-06,0.368
AR,2026-07,0.368
AR,2026-08,0.368
AR,2026-09,0.368
AR,2026-10,0.368
AR,2026-11,0.368
AR,2026-12,0.368
AR,2027-01,0.368
AR,2027-02,0.368
AR,2027-03,0.368
MX,2025-01,0.418
MX,2025-02,0.418
MX,2025-03,0.418
MX,2025-04,0.418
MX,2025-05,0.418
MX,2025-06,0.418
MX,2025-07,0.418
MX,2025-08,0.418
MX,2025-09,0.418
MX,2025-10,0.418
MX,2025-11,0.418
MX,2025-12,0.418
MX,2026-01,0.418
MX,2026-02,0.418
MX,2026-03,0.418
MX,2026-04,0.418
MX,2026-05,0.418
MX,2026-06,0.418
MX,2026-07,0.418
MX,2026-08,0.418
MX,2026-09,0.418
MX,2026-10,0.418
MX,2026-11,0.418
MX,2026-12,0.418
MX,2027-01,0.418
MX,2027-02,0.418
MX,2027-03,0.418
EC,2025-01,0.506
EC,2025-02,0.506
EC,2025-03,0.506
EC,2025-04,0.506
EC,2025-05,0.506
EC,2025-06,0.506
EC,2025-07,0.506
EC,2025-08,0.506
EC,2025-09,0.506
EC,2025-10,0.506
EC,2025-11,0.506
EC,2025-12,0.506
EC,2026-01,0.506
EC,2026-02,0.506
EC,2026-03,0.506
EC,2026-04,0.506
EC,2026-05,0.506
EC,2026-06,0.506
EC,2026-07,0.506
EC,2026-08,0.506
EC,2026-09,0.506
EC,2026-10,0.506
EC,2026-11,0.506
EC,2026-12,0.506
EC,2027-01,0.506
EC,2027-02,0.506
EC,2027-03,0.506
CO,2025-01,0.422
CO,2025-02,0.422
CO,2025-03,0.422
CO,2025-04,0.422
CO,2025-05,0.422
CO,2025-06,0.422
CO,2025-07,0.422
CO,2025-08,0.422
CO,2025-09,0.422
CO,2025-10,0.422
CO,2025-11,0.422
CO,2025-12,0.422
CO,2026-01,0.422
CO,2026-02,0.422
CO,2026-03,0.422
CO,2026-04,0.422
CO,2026-05,0.422
CO,2026-06,0.422
CO,2026-07,0.422
CO,2026-08,0.422
CO,2026-09,0.422
CO,2026-10,0.422
CO,2026-11,0.422
CO,2026-12,0.422
CO,2027-01,0.422
CO,2027-02,0.422
CO,2027-03,0.422
PE,2025-01,0.418
PE,2025-02,0.418
PE,2025-03,0.418
PE,2025-04,0.418
PE,2025-05,0.418
PE,2025-06,0.418
PE,2025-07,0.418
PE,2025-08,0.418
PE,2025-09,0.418
PE,2025-10,0.418
PE,2025-11,0.418
PE,2025-12,0.418
PE,2026-01,0.418
PE,2026-02,0.418
PE,2026-03,0.418
PE,2026-04,0.418
PE,2026-05,0.418
PE,2026-06,0.418
PE,2026-07,0.418
PE,2026-08,0.418
PE,2026-09,0.418
PE,2026-10,0.418
PE,2026-11,0.418
PE,2026-12,0.418
PE,2027-01,0.418
PE,2027-02,0.418
PE,2027-03,0.418
